signal,entite,statut_actuel,occurrences,verdicts_croises,recommandation,justification,exemples
MIV 2021,INTERBEV,propose,6,6 jugees: collaboration remuneree=6 (meme entite: collaboration remuneree=6),confirmer (fort),6/6 videos jugees 'collaboration remuneree' (operation Made in Viande 2021 avec Florian On Air).,tdP184q-KrE | fRINpFrPrIk | W2_R98ZVEVs
Viande Bio,INTERBEV,propose,6,1 jugees: hors sujet=1 (meme entite: hors sujet=1),rejeter,Terme generique ; 1 jugee hors sujet ; les videos de campagne sont sur les chaines vitrines.,3BJ4A5K5vm8 | xu9XOww5L1w | aOMgOtzIvdI
Broceliande,Broceliande,propose,5,aucune video jugee,rejeter,"Homonymes (creperie Broceliande, foret) ; rien sur la marque charcutiere.",j-O5QqR4Jj0 | Jj9W1YuSShE | q9P43oh05Jw
Cochonou,Cochonou,propose,5,aucune video jugee,rejeter,"Chaine de la marque (cochonouetvous) + degustations sans partenariat : compte vitrine au besoin, pas signal texte.",UWGBUvpZ8gE | -LH-ytHI7dQ | cVfeyq0hPtw
Et si on en parlait,CNIEL,propose,5,5 jugees: hors sujet=5 (meme entite: hors sujet=5),rejeter,Expression courante + serie de la chaine vitrine CNIEL ; 5/5 jugees hors sujet.,3vmnwH0WSMU | pqqRJN8HjWE | Al2y08OAaJ8
lesprolaitiers,CNIEL,propose,5,3 jugees: hors sujet=3 (meme entite: hors sujet=3),rejeter,Liens twitter.com/LesProLaitiers sur la chaine vitrine CNIEL uniquement ; 3/3 jugees hors sujet.,nLXBWwZ1vxI | VlDt3FBercE | ZxgNLZL-Sb8
Made in viande 2014,INTERBEV,propose,5,5 jugees: hors sujet=5 (meme entite: hors sujet=5),rejeter,5/5 jugees hors sujet ; chaine vitrine uniquement.,_0gTezsTDKw | -EJGHIr20VA | 3zL_l5jbDgc
Taillefine,Taillefine,propose,5,aucune video jugee,rejeter,"Le hashtag #taillefine designe le tour de taille, pas la marque.",OcoBQW2upj0 | ZX2GcdGyfg8 | CoZLQQxFxX4
Yoplait,Yoplait,propose,5,aucune video jugee,confirmer (faible),Stream Kameto avec jeu-concours grandjeuyop.yoplait.fr : operation commerciale plausible ; les autres occurrences sont un ingredient generique.,Wd0dAadW5JQ | -jbw981ct5U | gz_w8_4r2Uc
Actimel,Actimel,propose,4,aucune video jugee,confirmer (fort),"Extraits explicites 'Partenariat remunere avec Actimel' (Inoxtag, x2) + jeu-concours Studio Danielle ; aucune video jugee mais la preuve est dans l'extrait.",eDyBhasGC7s | 8afFe-M8Zpg | pPWcorCvo1g
Kiri,Kiri,propose,4,aucune video jugee,rejeter,Ingredient de recettes ('2 portions de Kiri') ; aucun indice de partenariat.,r-sWb1JV3kM | UTA5AJFMYCo | gGsheLJ8edM
La Sauce de la Paix,INTERBEV,propose,4,4 jugees: hors sujet=4 (meme entite: hors sujet=4),rejeter,Uniquement sur la chaine de campagne 'Naturellement Flexitariens' (vitrine INTERBEV) ; 4/4 jugees hors sujet.,3IA1CjJ304c | 3FIZyVItA5M | uKsWyK8iKb0
Le Magret,CIFOG,propose,4,aucune video jugee,rejeter,Plat generique (magret de canard) ; aucun lien CIFOG dans les contextes.,m8ads91bDkw | 1s6j8fhrQ18 | rzrstl5RONU
Chaumes,Chaumes,propose,3,aucune video jugee,rejeter,Recettes et canal export IledeFranceCheese ; aucun indice de partenariat createur.,QxEF8-1c3ZA | OF-l5fmGp8U | beI-OntfIMA
Milk Check,CNIEL,propose,3,3 jugees: hors sujet=3 (meme entite: hors sujet=3),rejeter,Chaine vitrine CNIEL uniquement ; 3/3 jugees hors sujet.,V8jvr6gfhyI | ZYunQ4CjcvA | 58nY2sZc-1A
Pures sensations,CNIEL,propose,3,3 jugees: hors sujet=3 (meme entite: hors sujet=3),rejeter,Archives publicitaires 2003 sur la chaine vitrine CNIEL ; 3/3 jugees hors sujet.,RldwQFwUmmA | k0vTzmIBR6E | 9CjlSY2GUl4
Entremont,Entremont,propose,2,aucune video jugee,confirmer (faible),Recettes CuisineAZ construites sur le produit nomme ('sauce 3 Fromages Entremont') : placement plausible ; aucun verdict.,_32lX66L-io | Q-lEbCkekTM
Galbani,Galbani,propose,2,aucune video jugee,confirmer (faible),Toscane Lucas 'Je cuisine avec le mascarpone @Galbani France' : placement createur plausible ; aucun verdict.,6uUT7ghkZ64 | hbyAze144R0
Herta,Herta,propose,2,aucune video jugee,confirmer (faible),"JohanPapz 'Herta m'a mis au defi de faire des pizzas' : defi de marque typique d'un partenariat ; 2 occurrences, aucun verdict.",5pwLIrm_GBA | S8xAS1RlF2Y
Le Gaulois,Le Gaulois,propose,2,aucune video jugee,confirmer (faible),"Recette createur 'grace a Le Gaulois' (placement plausible), mais homonymes presents ('BARDIX LE GAULOIS').",9XviQwGHG0U | jtlhRzHKhO0
Le Porc Francais,INAPORC,propose,2,2 jugees: collaboration remuneree=2 (meme entite: collaboration remuneree=2),confirmer (fort),"2/2 videos jugees 'collaboration remuneree' meme entite (FlorianOnAir : 'Video sponsorisee par Le Porc Francais', 'En partenariat avec Le Porc Francais').",UXC8PGoEULg | WCG8jN-i8ZQ
Leporc,INAPORC,propose,2,aucune video jugee,confirmer (faible),Videos LeStream avec lien leporc.com et #cestbondanslecochon : campagne INAPORC chez des createurs ; aucun verdict sur ces videos.,e6cRmLPxV6U | b5eTXjwiwtE
Les produits tripiers,INTERBEV,propose,2,1 jugees: hors sujet=1 (meme entite: hors sujet=1),confirmer (faible),Recette 'C'est meilleur quand c'est bon' citant 'Les produits tripiers aussi' : echo plausible d'une campagne INTERBEV ; 1 video jugee hors sujet. Ligne en double au dictionnaire.,BPpq0IXZQqw | EMVLz6vnWTA
Les produits tripiers,INTERBEV,propose,2,1 jugees: hors sujet=1 (meme entite: hors sujet=1),confirmer (faible),Recette 'C'est meilleur quand c'est bon' citant 'Les produits tripiers aussi' : echo plausible d'une campagne INTERBEV ; 1 video jugee hors sujet. Ligne en double au dictionnaire.,BPpq0IXZQqw | EMVLz6vnWTA
MADE in VIANDE 2017,INTERBEV,propose,2,2 jugees: hors sujet=2 (meme entite: hors sujet=2),rejeter,Teasers sur la chaine vitrine ; 2/2 jugees hors sujet.,xRJucuAbl0k | AsOnleidvC4
Paysan Breton,Paysan Breton,propose,2,aucune video jugee,rejeter,Degustation sans mention de partenariat + ingredient generique 'type Paysan Breton'.,S1iICDIeBZI | r884doe4Y18
Saint Agur,Saint Agur,propose,2,aucune video jugee,confirmer (faible),Recette CuisineAZ titree 'a la creme de Saint Agur' : placement plausible ; aucun verdict.,lH1On-skZ-c | Hh2GaWYwrKw
Volaille Francaise,ANVOL,propose,2,2 jugees: je ne sais pas=1 | collaboration remuneree=1 (meme entite: je ne sais pas=1 | collaboration remuneree=1),confirmer (fort),"1 'collaboration remuneree' jugee meme entite sur 2 (FlorianOnAir 'Mars, c'est le mois de la Volaille Francaise'), l'autre 'je ne sais pas'.",2Xigk6PNknE | frp-4gQv5WU
Aoste,Aoste,propose,1,aucune video jugee,rejeter,Homonyme geographique (Vallee d'Aoste).,qIXxmcVydtM
Candia,Candia,propose,1,1 jugees: je ne sais pas=1,rejeter,"1 occurrence, dans un episode CHAUD! de la chaine vitrine CNIEL (jugee 'je ne sais pas' sous une autre entite).",uwyDo-NNCD8
Charal,Charal,propose,1,aucune video jugee,confirmer (faible),"Aypierre 'Le Buildboard Challenge minecraft de Charal' : operation de marque avec un createur ; occurrence unique, aucun verdict.",rDLzwma0-K4
Foie Gras et Magret,CIFOG,propose,1,1 jugees: hors sujet=1 (meme entite: hors sujet=1),rejeter,"1 occurrence jugee hors sujet (publicite d'un commerce local, pas un createur).",2UHJfW3w5Sk
Gastronome,Gastronome,propose,1,aucune video jugee,rejeter,Homonyme ('restaurant Asahina Gastronome') ; rien sur la marque volaille.,hywI8gxEPH4
Justin Bridou,Justin Bridou,propose,1,aucune video jugee,rejeter,"1 occurrence dans une enumeration de calendriers de l'avent, sans partenariat.",V3zMHPDhXdc
La Laitiere,La Laitiere,propose,1,aucune video jugee,rejeter,"1 occurrence : comparatif Yuka anti-marketing, l'inverse d'une collaboration.",SfpHr2gyLBQ
laviandetv,INTERBEV,propose,1,aucune video jugee,rejeter,"1 occurrence sur la chaine vitrine 'Aimez la viande', deja routee.",7qAvtWTbmEg
Mamie Nova,Mamie Nova,propose,1,aucune video jugee,rejeter,1 occurrence : le meme comparatif Yuka.,SfpHr2gyLBQ
Radio Sexe,CNIEL,propose,1,aucune video jugee,confirmer (faible),"1 occurrence (le son officiel chez Kameto) ; le podcast lui-meme est RAPPORTE sponsorise par le CNIEL (StreetPress). Peu de rendement en description, mais zero bruit.",OTS8jInJJzk
Recette Cuisine Viande,INTERBEV,propose,1,aucune video jugee,rejeter,"1 occurrence sur la chaine vitrine, deja routee.",qk-JsJxNm84
Salakis,Salakis,propose,1,aucune video jugee,rejeter,"1 occurrence : recette dietetique citant le produit, sans indice de partenariat.",Zuk6ejjSrZk
Socopa,Socopa,propose,1,aucune video jugee,confirmer (faible),"FlorianOnAir jury de la 'Coupe de France de Burger by Socopa' : operation de marque, invitation plausible ; occurrence unique.",tMy28pRSjnY
Soignon,Soignon,propose,1,aucune video jugee,confirmer (faible),Recette CuisineAZ titree sur le produit ('buche aux herbes de Provence Soignon') : meme motif de placement qu'Entremont.,AgtEBHH50o8
@lifeatdanone,Danone,propose,0,aucune video jugee,sans occurrence — sans objet pour l'instant,Aucune occurrence dans les 53 381 videos de veille.sqlite (titre + description).,
Bridel,Bridel,propose,0,aucune video jugee,sans occurrence — sans objet pour l'instant,Aucune occurrence dans les 53 381 videos de veille.sqlite (titre + description).,
Challenge Foie Gras 2014,CIFOG,propose,0,aucune video jugee,sans occurrence — sans objet pour l'instant,Aucune occurrence dans les 53 381 videos de veille.sqlite (titre + description).,
Coeur de Lion,Coeur de Lion,propose,0,aucune video jugee,sans occurrence — sans objet pour l'instant,Aucune occurrence dans les 53 381 videos de veille.sqlite (titre + description).,
Elivia,Elivia,propose,0,aucune video jugee,sans occurrence — sans objet pour l'instant,Aucune occurrence dans les 53 381 videos de veille.sqlite (titre + description).,
Expert d'élevage,INTERBEV,propose,0,aucune video jugee,sans occurrence — sans objet pour l'instant,Aucune occurrence dans les 53 381 videos de veille.sqlite (titre + description).,
Filière viande,INTERBEV,propose,0,aucune video jugee,sans occurrence — sans objet pour l'instant,Aucune occurrence dans les 53 381 videos de veille.sqlite (titre + description).,
Foie Gras 2017,CIFOG,propose,0,aucune video jugee,sans occurrence — sans objet pour l'instant,Aucune occurrence dans les 53 381 videos de veille.sqlite (titre + description).,
Foie Gras in pictures,CIFOG,propose,0,aucune video jugee,sans occurrence — sans objet pour l'instant,Aucune occurrence dans les 53 381 videos de veille.sqlite (titre + description).,
Foie Gras in Reels,CIFOG,propose,0,aucune video jugee,sans occurrence — sans objet pour l'instant,Aucune occurrence dans les 53 381 videos de veille.sqlite (titre + description).,
Foie Gras in Reels - E1,CIFOG,propose,0,aucune video jugee,sans occurrence — sans objet pour l'instant,Aucune occurrence dans les 53 381 videos de veille.sqlite (titre + description).,
Foie Gras in Reels - E2,CIFOG,propose,0,aucune video jugee,sans occurrence — sans objet pour l'instant,Aucune occurrence dans les 53 381 videos de veille.sqlite (titre + description).,
Fromages de France,CNIEL,propose,0,aucune video jugee,sans occurrence — sans objet pour l'instant,Aucune occurrence dans les 53 381 videos de veille.sqlite (titre + description).,
Génération XYZ,CIFOG,propose,0,aucune video jugee,sans occurrence — sans objet pour l'instant,Aucune occurrence dans les 53 381 videos de veille.sqlite (titre + description).,
Grand Fermage,Grand Fermage,propose,0,aucune video jugee,sans occurrence — sans objet pour l'instant,Aucune occurrence dans les 53 381 videos de veille.sqlite (titre + description).,
Grand Voyage,CNIEL,propose,0,aucune video jugee,sans occurrence — sans objet pour l'instant,Aucune occurrence dans les 53 381 videos de veille.sqlite (titre + description).,
I L'OVIN,INTERBEV,propose,0,aucune video jugee,sans occurrence — sans objet pour l'instant,Aucune occurrence dans les 53 381 videos de veille.sqlite (titre + description).,
Lactel,Lactel,propose,0,aucune video jugee,sans occurrence — sans objet pour l'instant,Aucune occurrence dans les 53 381 videos de veille.sqlite (titre + description).,
Le Foie Gras en Reels-E2,CIFOG,propose,0,aucune video jugee,sans occurrence — sans objet pour l'instant,Aucune occurrence dans les 53 381 videos de veille.sqlite (titre + description).,
Le lait c'est gai,CNIEL,propose,0,aucune video jugee,sans occurrence — sans objet pour l'instant,Aucune occurrence dans les 53 381 videos de veille.sqlite (titre + description).,
Leerdammer,Leerdammer,propose,0,aucune video jugee,sans occurrence — sans objet pour l'instant,Aucune occurrence dans les 53 381 videos de veille.sqlite (titre + description).,
LesCharcuteries,INAPORC,propose,0,aucune video jugee,sans occurrence — sans objet pour l'instant,Aucune occurrence dans les 53 381 videos de veille.sqlite (titre + description).,
Nos Chefs nous manquent,CIFOG,propose,0,aucune video jugee,sans occurrence — sans objet pour l'instant,Aucune occurrence dans les 53 381 videos de veille.sqlite (titre + description).,
Oeufs de France,CNPO,propose,0,aucune video jugee,sans occurrence — sans objet pour l'instant,Aucune occurrence dans les 53 381 videos de veille.sqlite (titre + description).,
Oies et Canards,CIFOG,propose,0,aucune video jugee,sans occurrence — sans objet pour l'instant,Aucune occurrence dans les 53 381 videos de veille.sqlite (titre + description).,
On the road to Foie Gras,CIFOG,propose,0,aucune video jugee,sans occurrence — sans objet pour l'instant,Aucune occurrence dans les 53 381 videos de veille.sqlite (titre + description).,
Pere Dodu,Pere Dodu,propose,0,aucune video jugee,sans occurrence — sans objet pour l'instant,Aucune occurrence dans les 53 381 videos de veille.sqlite (titre + description).,
Recette de Cuisine Viande,INTERBEV,propose,0,aucune video jugee,sans occurrence — sans objet pour l'instant,Aucune occurrence dans les 53 381 videos de veille.sqlite (titre + description).,
Regilait,Regilait,propose,0,aucune video jugee,sans occurrence — sans objet pour l'instant,Aucune occurrence dans les 53 381 videos de veille.sqlite (titre + description).,
Sabeval,Sabeval,propose,0,aucune video jugee,sans occurrence — sans objet pour l'instant,Aucune occurrence dans les 53 381 videos de veille.sqlite (titre + description).,
Secret de Cheffe en vidéo,CIFOG,propose,0,aucune video jugee,sans occurrence — sans objet pour l'instant,Aucune occurrence dans les 53 381 videos de veille.sqlite (titre + description).,
Tendriade,Tendriade,propose,0,aucune video jugee,sans occurrence — sans objet pour l'instant,Aucune occurrence dans les 53 381 videos de veille.sqlite (titre + description).,
Tradival,Tradival,propose,0,aucune video jugee,sans occurrence — sans objet pour l'instant,Aucune occurrence dans les 53 381 videos de veille.sqlite (titre + description).,
Viande Elevage Bio,INTERBEV,propose,0,aucune video jugee,sans occurrence — sans objet pour l'instant,Aucune occurrence dans les 53 381 videos de veille.sqlite (titre + description).,
WEB SÉRIE CULINAIRE,CIFOG,propose,0,aucune video jugee,sans occurrence — sans objet pour l'instant,Aucune occurrence dans les 53 381 videos de veille.sqlite (titre + description).,
XYZ Generation,CIFOG,propose,0,aucune video jugee,sans occurrence — sans objet pour l'instant,Aucune occurrence dans les 53 381 videos de veille.sqlite (titre + description).,
